env_avg,1420042_r,1420042_s
26.0,27.6,28.0
26.1,27.7,28.0
26.2,27.7,29.0
26.3,27.7,29.0
26.3,27.3,29.0
26.0,26.8,29.0
26.0,27.1,29.0
26.2,27.7,29.0
26.3,27.7,29.0
26.4,27.8,29.0
26.5,28.0,29.0
26.6,28.0,29.0
26.6,28.1,29.0
26.6,28.3,29.0
26.6,28.3,27.0
26.6,28.1,27.0
26.5,27.7,27.0
26.4,27.6,27.0
26.3,27.6,27.0
26.3,27.5,27.0
26.2,27.1,26.0
26.1,27.1,26.0
26.0,26.6,26.0
25.9,26.5,26.0
25.9,26.4,26.0
25.8,26.3,26.0
25.8,26.3,27.0
25.7,26.3,27.0
25.7,26.4,27.0
25.7,26.4,27.0
25.7,26.4,27.0
25.7,26.5,27.0
,,
25.8,27.1,28.0
25.9,27.3,28.0
25.9,27.5,28.0
26.0,27.6,28.0
26.1,27.7,28.0
26.1,27.8,29.0
26.3,27.8,29.0
26.4,27.9,29.0
26.4,27.8,29.0
26.5,28.2,29.0
26.6,28.2,29.0
26.6,28.2,29.0
26.7,28.4,29.0
26.8,28.5,29.0
26.8,28.5,29.0
26.9,28.5,29.0
26.9,28.5,29.0
26.9,28.6,27.0
26.7,28.0,27.0
26.6,27.8,27.0
26.4,27.6,27.0
26.4,27.4,27.0
26.2,26.5,27.0
26.1,27.2,28.0
26.1,27.3,28.0
26.1,27.4,28.0
26.1,27.4,28.0
26.1,27.4,28.0
26.1,27.5,28.0
26.2,27.7,29.0
26.4,28.0,29.0
26.5,28.3,29.0
26.5,28.2,29.0
26.6,28.3,29.0
26.7,28.2,29.0
26.7,28.3,27.0
26.6,28.1,27.0
26.5,27.7,27.0
26.4,27.6,27.0
26.3,27.6,27.0
26.3,27.4,27.0
26.2,27.0,26.0
26.1,26.8,26.0
26.0,26.7,26.0
25.9,26.5,26.0
25.8,26.3,26.0
25.8,26.4,26.0
25.7,26.2,27.0
25.7,26.4,27.0
25.7,26.3,27.0
25.6,26.4,27.0
25.7,26.4,27.0
25.6,26.4,27.0
25.7,26.9,28.0
25.8,27.1,28.0
25.9,27.2,28.0
26.0,27.3,28.0
26.1,27.5,28.0
26.2,27.7,28.0
26.3,27.8,29.0
26.4,27.9,29.0
26.5,27.9,29.0
26.6,28.0,29.0
26.6,28.1,29.0
26.6,28.2,29.0
26.7,28.5,29.0
26.8,28.5,29.0
26.8,28.4,29.0
26.8,28.4,29.0
26.8,28.5,29.0
26.9,28.6,29.0
26.8,28.5,27.0
26.6,27.0,27.0
26.4,27.7,27.0
26.4,27.9,27.0
26.4,27.8,27.0
26.3,27.7,27.0
26.2,27.2,26.0
26.1,26.9,26.0
26.1,26.7,26.0
26.0,26.6,26.0
25.9,26.5,26.0
25.8,26.4,26.0
25.8,26.3,27.0
25.7,26.4,27.0
25.7,26.4,27.0
25.7,26.3,27.0
25.7,26.4,27.0
25.7,26.4,27.0
25.7,26.8,28.0
25.8,27.1,28.0
25.8,27.2,28.0
26.0,27.2,28.0
26.1,27.4,28.0
26.2,27.5,28.0
26.3,27.6,29.0
26.3,27.7,29.0
26.4,27.9,29.0
26.5,27.9,29.0
26.5,28.0,29.0
26.6,28.2,29.0
26.6,28.1,28.0
26.7,28.1,28.0
26.6,28.2,28.0
26.7,28.4,28.0
26.7,28.2,28.0
26.7,28.3,28.0
26.7,28.1,26.0
26.5,27.4,26.0
26.3,26.9,26.0
26.2,26.8,26.0
26.0,26.5,26.0
25.9,26.5,26.0
25.9,26.5,27.0
25.8,26.3,27.0
25.7,26.4,27.0
25.7,26.4,27.0
25.7,26.4,27.0
25.7,26.5,27.0
25.7,26.9,28.0
25.8,27.1,28.0
25.9,27.3,28.0
25.8,26.1,28.0
25.6,26.3,28.0
25.7,26.9,28.0
25.9,27.1,29.0
26.0,27.6,29.0
26.2,27.6,29.0
26.2,27.7,29.0
26.3,27.7,29.0
26.4,27.9,29.0
26.4,28.1,28.0
26.4,28.1,28.0
26.4,28.3,28.0
26.5,28.2,28.0
26.5,28.3,28.0
26.5,28.2,28.0
26.4,27.8,26.0
26.3,27.2,26.0
26.1,27.0,26.0
26.0,26.8,26.0
25.9,26.7,26.0
25.8,26.4,26.0
25.8,26.4,27.0
25.7,26.3,27.0
25.7,26.4,27.0
25.6,26.3,27.0
25.7,26.5,27.0
25.6,26.4,27.0
25.7,26.9,28.0
25.7,27.1,28.0
25.8,27.3,28.0
25.9,27.2,28.0
26.0,27.5,28.0
26.1,27.5,28.0
26.3,27.8,29.0
26.3,27.7,29.0
26.4,27.9,29.0
26.4,28.1,29.0
26.5,28.1,29.0
26.6,28.3,29.0
26.6,28.2,27.0
26.5,28.0,27.0
26.4,27.8,27.0
26.3,27.7,27.0
26.2,27.7,27.0
26.2,27.4,27.0
26.1,27.0,26.0
26.0,26.9,26.0
25.9,26.6,26.0
25.9,26.6,26.0
25.8,26.4,26.0
25.6,26.2,26.0
25.5,26.3,27.0
25.6,26.4,27.0
25.5,26.4,27.0
25.5,26.5,27.0
25.5,26.6,27.0
25.5,26.5,27.0
25.6,26.7,28.0
25.7,27.1,28.0
25.8,27.1,28.0
25.9,27.4,28.0
26.1,27.6,28.0
26.1,27.7,28.0
26.2,27.8,29.0
26.3,27.9,29.0
26.4,28.0,29.0
26.4,28.2,29.0
26.5,28.2,29.0
26.5,28.3,29.0
26.5,28.2,27.0
26.4,28.0,27.0
26.3,27.8,27.0
26.3,27.7,27.0
26.2,27.5,27.0
26.1,27.4,27.0
26.1,27.0,26.0
25.9,26.8,26.0
25.9,26.7,26.0
25.8,26.5,26.0
25.7,26.4,26.0
25.7,26.4,26.0
25.6,26.3,27.0
25.6,26.4,27.0
25.6,26.3,27.0
25.6,26.4,27.0
25.5,26.5,27.0
25.6,26.5,27.0
25.6,26.9,28.0
25.7,27.2,28.0
25.8,27.4,28.0
25.8,27.4,28.0
25.9,27.6,28.0
26.0,27.6,28.0
26.0,27.7,29.0
26.1,27.8,29.0
26.3,27.9,29.0
26.3,28.2,29.0
26.4,28.1,29.0
26.4,28.1,29.0
26.5,28.4,28.0
26.3,27.3,28.0
26.0,26.8,28.0
26.1,27.8,28.0
26.1,28.0,28.0
26.2,28.1,28.0
26.2,27.8,27.0
26.2,27.7,27.0
26.1,27.6,27.0
26.1,27.6,27.0
26.0,27.5,27.0
26.0,27.5,27.0
26.0,27.6,28.0
26.0,27.4,28.0
26.0,27.5,28.0
26.0,27.4,28.0
26.0,27.5,28.0
26.0,27.6,28.0
26.1,27.7,29.0
26.2,27.8,29.0
26.3,28.0,29.0
26.4,28.1,29.0
26.5,28.1,29.0
26.5,28.3,29.0
26.6,28.3,28.0
26.6,28.3,28.0
26.6,28.4,28.0
26.6,28.3,28.0
26.6,28.4,28.0
26.7,28.5,28.0
26.6,28.1,26.0
26.4,27.3,26.0
26.2,27.1,26.0
26.0,26.7,26.0
25.9,26.6,26.0
25.8,26.5,26.0
25.7,26.3,27.0
25.7,26.3,27.0
25.6,26.2,27.0
25.6,26.4,27.0
25.6,26.4,27.0
25.6,26.5,27.0
25.6,26.8,28.0
25.6,27.0,28.0
25.7,27.2,28.0
25.8,27.3,28.0
25.9,27.4,28.0
26.0,27.6,28.0
26.1,27.7,29.0
26.2,27.8,29.0
26.2,27.8,29.0
26.2,26.9,29.0
25.9,26.2,29.0
25.9,27.3,29.0
26.0,27.7,29.0
26.1,27.7,29.0
26.2,27.8,29.0
26.3,27.9,29.0
26.4,28.1,29.0
26.4,28.2,29.0
26.4,28.2,29.0
26.5,28.2,29.0
26.5,28.3,29.0
26.5,28.4,29.0
26.6,28.3,29.0
26.6,28.3,29.0
26.6,28.4,27.0
26.5,28.0,27.0
26.3,27.7,27.0
26.3,27.6,27.0
26.1,27.5,27.0
26.1,27.3,27.0
26.0,26.9,26.0
25.9,26.8,26.0
25.8,26.6,26.0
25.7,26.5,26.0
25.7,26.4,26.0
25.6,26.3,26.0
25.5,26.4,27.0
25.5,26.4,27.0
25.5,26.4,27.0
25.5,26.4,27.0
25.5,26.4,27.0
25.5,26.4,27.0
25.5,27.0,28.0
25.6,27.0,28.0
25.7,27.3,28.0
25.8,27.4,28.0
,,
26.0,27.9,28.0
26.0,27.8,29.0
26.1,27.9,29.0
26.2,27.9,29.0
26.3,28.2,29.0
26.3,28.2,29.0
26.3,28.1,29.0
26.4,28.1,28.0
26.4,28.3,28.0
26.4,28.2,28.0
26.4,28.1,28.0
26.5,28.3,28.0
26.5,28.2,28.0
26.2,26.7,26.0
25.9,27.3,26.0
25.9,27.3,26.0
25.9,27.0,26.0
25.8,26.8,26.0
25.7,26.6,26.0
25.7,26.6,27.0
25.6,26.6,27.0
25.6,26.5,27.0
25.5,26.5,27.0
25.5,26.6,27.0
25.5,26.4,27.0
25.5,26.7,28.0
25.5,27.3,28.0
25.6,27.1,28.0
25.8,27.4,28.0
25.9,27.5,28.0
25.9,27.7,28.0
26.1,27.8,29.0
26.1,27.9,29.0
26.2,27.9,29.0
26.3,28.1,29.0
26.3,28.1,29.0
26.3,28.2,29.0
26.3,28.1,28.0
26.4,28.3,28.0
26.4,28.2,28.0
26.4,28.2,28.0
26.4,28.2,28.0
26.4,28.0,28.0
26.3,,
26.1,27.4,26.0
26.0,27.0,26.0
25.9,26.7,26.0
25.8,26.6,26.0
25.7,26.4,26.0
25.6,26.3,27.0
25.5,26.4,27.0
25.5,26.4,27.0
25.5,26.4,27.0
25.4,26.4,27.0
25.4,26.5,27.0
25.4,26.9,28.0
25.5,27.2,28.0
25.6,27.3,28.0
25.7,27.1,28.0
25.8,27.4,28.0
25.9,27.4,28.0
25.9,27.7,29.0
26.0,27.7,29.0
25.9,26.7,29.0
25.6,26.2,29.0
25.7,27.3,29.0
25.8,27.6,29.0
25.9,27.8,29.0
26.0,27.8,29.0
26.0,27.7,29.0
26.1,27.8,29.0
26.2,27.9,29.0
26.2,28.0,29.0
26.2,28.1,28.0
26.2,28.3,28.0
26.2,28.2,28.0
26.2,28.2,28.0
26.3,28.3,28.0
26.2,28.3,28.0
26.3,28.2,29.0
26.4,28.1,29.0
26.4,28.3,29.0
26.5,28.4,29.0
26.5,28.3,29.0
26.5,28.3,29.0
26.5,28.3,27.0
26.3,27.9,27.0
26.2,27.7,27.0
26.1,27.7,27.0
26.0,27.5,27.0
26.0,27.4,27.0
25.9,27.0,26.0
25.8,26.8,26.0
25.7,26.6,26.0
25.6,26.6,26.0
25.6,26.5,26.0
25.6,26.3,26.0
25.5,26.4,27.0
25.5,26.4,27.0
25.4,26.4,27.0
25.4,26.4,27.0
25.4,26.5,27.0
25.4,26.5,27.0
,,
25.5,27.0,28.0
25.6,27.2,28.0
25.7,27.4,28.0
25.8,27.5,28.0
25.9,27.9,28.0
26.0,27.7,29.0
26.0,27.9,29.0
,,
26.2,27.8,29.0
26.1,26.8,29.0
25.8,26.4,29.0
,,
,,
,,
,,
26.1,28.0,29.0
26.2,28.1,29.0
26.3,28.0,29.0
26.3,28.1,29.0
26.3,28.2,29.0
26.4,28.3,29.0
26.4,28.2,29.0
26.5,28.3,29.0
26.4,28.2,27.0
26.3,28.1,27.0
26.2,27.8,27.0
26.1,27.7,27.0
26.0,27.6,27.0
26.0,27.5,28.0
26.0,27.5,28.0
25.9,27.4,28.0
25.9,27.5,28.0
25.9,27.5,28.0
25.9,27.4,28.0
25.8,27.6,28.0
25.9,27.6,29.0
26.0,27.6,29.0
26.1,27.7,29.0
26.2,28.2,29.0
26.3,28.1,29.0
26.3,28.2,29.0
26.4,28.2,28.0
26.4,28.2,28.0
26.4,28.3,28.0
26.4,28.2,28.0
26.4,28.6,28.0
26.5,28.3,28.0
26.4,28.0,26.0
26.2,27.4,26.0
26.0,27.0,26.0
25.9,26.7,26.0
25.8,26.5,26.0
25.7,26.3,26.0
25.6,26.4,27.0
25.5,26.3,27.0
25.5,26.3,27.0
25.5,26.4,27.0
25.5,26.4,27.0
25.4,26.4,27.0
25.5,26.7,28.0
25.3,25.7,28.0
25.2,26.3,28.0
25.4,26.8,28.0
25.5,27.0,28.0
25.7,27.3,28.0
25.8,27.4,29.0
25.9,27.6,29.0
26.0,27.7,29.0
26.0,27.7,29.0
26.1,27.8,29.0
26.2,28.0,29.0
26.2,28.2,28.0
26.2,28.2,28.0
26.2,28.2,28.0
26.2,28.2,28.0
26.2,28.3,28.0
26.2,28.3,28.0
26.2,27.9,27.0
26.1,27.8,27.0
26.0,27.7,27.0
26.0,27.6,27.0
25.9,27.6,27.0
25.9,27.4,27.0
25.9,27.0,26.0
25.8,26.7,26.0
25.7,26.6,26.0
25.6,26.5,26.0
25.5,26.5,26.0
25.5,26.3,27.0
25.5,26.5,27.0
25.5,26.4,27.0
25.4,26.5,27.0
25.4,26.4,27.0
25.4,26.4,27.0
25.4,26.5,27.0
25.4,26.9,28.0
25.5,26.9,28.0
25.6,27.1,28.0
25.7,27.4,28.0
25.8,27.5,28.0
25.9,27.6,28.0
25.9,27.6,29.0
26.0,27.8,29.0
26.1,27.9,29.0
26.2,28.1,29.0
26.2,28.2,29.0
26.2,28.1,29.0
26.3,28.2,28.0
26.3,28.1,28.0
26.3,28.2,28.0
26.1,26.7,28.0
25.8,27.0,28.0
25.8,27.7,28.0
25.9,27.8,29.0
26.0,27.8,29.0
26.1,28.0,29.0
26.2,28.0,29.0
26.2,28.0,29.0
26.2,28.1,29.0
26.2,28.3,28.0
26.3,28.3,28.0
26.3,28.3,28.0
26.3,28.4,28.0
26.3,28.2,28.0
26.3,28.3,27.0
26.2,27.9,27.0
26.1,27.8,27.0
26.1,27.8,27.0
26.0,27.6,27.0
25.9,27.4,27.0
25.9,27.4,27.0
25.8,27.0,26.0
25.7,26.7,26.0
25.7,26.5,26.0
25.6,26.6,26.0
25.5,26.5,26.0
25.5,26.4,26.0
25.4,26.4,27.0
25.4,26.5,27.0
25.4,26.5,27.0
25.4,26.4,27.0
25.4,26.5,27.0
25.3,26.5,27.0
25.4,26.8,28.0
25.4,27.0,28.0
25.6,27.1,28.0
25.7,27.3,28.0
25.8,27.5,28.0
25.8,27.4,28.0
25.9,27.7,29.0
26.0,28.0,29.0
26.0,28.1,29.0
26.1,28.1,29.0
26.1,27.9,29.0
26.1,28.1,29.0
26.2,28.1,28.0
26.3,28.1,28.0
26.2,28.2,28.0
26.3,28.2,28.0
26.3,28.2,28.0
26.1,26.7,29.0
25.8,26.3,29.0
25.8,27.6,29.0
26.0,28.0,29.0
26.1,28.1,29.0
26.2,28.3,29.0
26.2,28.2,29.0
26.3,28.3,28.0
26.3,28.2,28.0
26.3,28.3,28.0
26.3,28.4,28.0
26.3,28.4,28.0
26.4,28.3,28.0
26.3,28.0,26.0
26.1,27.4,26.0
26.0,27.1,26.0
25.8,26.7,26.0
25.7,26.6,26.0
25.6,26.4,26.0
25.5,26.3,27.0
25.5,26.4,27.0
25.4,26.3,27.0
25.4,26.5,27.0
25.4,26.5,27.0
25.4,26.4,27.0
25.4,26.8,28.0
25.4,27.0,28.0
25.5,27.1,28.0
25.7,27.4,28.0
25.7,27.5,28.0
25.8,27.5,28.0
25.9,27.7,29.0
25.9,27.9,29.0
26.0,27.8,29.0
26.0,28.0,29.0
26.1,28.1,29.0
26.1,28.1,29.0
26.2,28.1,28.0
26.2,28.1,28.0
26.2,28.0,28.0
26.2,28.1,28.0
26.2,28.1,28.0
26.2,28.1,28.0
26.1,28.2,27.0
26.0,27.9,27.0
26.0,27.7,27.0
25.9,27.5,27.0
25.9,27.5,27.0
25.8,27.4,27.0
25.8,27.4,27.0
25.7,26.8,28.0
25.4,25.7,28.0
25.4,26.9,28.0
25.6,27.2,28.0
25.7,27.3,28.0
25.8,27.7,29.0
25.9,27.7,29.0
26.0,27.9,29.0
26.0,27.9,29.0
26.1,28.2,29.0
26.1,28.2,29.0
26.1,28.3,28.0
26.1,28.3,28.0
26.1,28.4,28.0
26.1,28.4,28.0
26.1,28.3,28.0
26.1,28.2,28.0
26.0,28.0,27.0
26.0,27.7,27.0
25.9,27.6,27.0
25.9,27.6,27.0
25.9,27.5,27.0
25.8,27.5,27.0
25.8,27.5,28.0
25.7,27.4,28.0
25.7,27.4,28.0
25.7,27.5,28.0
25.7,27.4,28.0
25.7,27.4,28.0
25.8,27.7,29.0
25.9,27.8,29.0
26.0,27.8,29.0
26.0,27.8,29.0
26.1,28.2,29.0
26.2,28.1,29.0
26.2,28.1,29.0
26.2,28.2,29.0
26.3,28.3,29.0
26.3,28.3,29.0
26.4,28.5,29.0
26.4,28.4,29.0
26.5,28.5,29.0
26.5,28.5,29.0
26.5,28.6,29.0
26.5,28.7,29.0
26.6,28.6,29.0
26.6,28.7,29.0
26.6,28.6,28.0
26.6,28.8,28.0
26.6,28.8,28.0
26.5,28.0,28.0
26.2,26.7,28.0
26.0,27.9,28.0
26.0,27.9,27.0
26.0,27.7,27.0
26.0,27.6,27.0
25.9,27.5,27.0
25.9,27.4,27.0
25.9,27.4,27.0
25.9,27.5,28.0
25.9,27.5,28.0
25.9,27.5,28.0
25.9,27.6,28.0
25.9,27.6,28.0
25.9,27.6,28.0
25.9,27.9,29.0
26.0,28.0,29.0
26.2,28.1,29.0
26.2,28.2,29.0
26.3,28.3,29.0
26.4,28.4,29.0
26.3,28.5,27.0
26.3,27.9,27.0
26.1,27.8,27.0
26.1,27.6,27.0
26.0,27.3,27.0
25.9,27.4,27.0
25.8,26.9,26.0
25.7,26.7,26.0
25.7,26.6,26.0
25.6,26.4,26.0
25.5,26.3,26.0
25.5,26.3,27.0
25.4,26.2,27.0
25.4,26.4,27.0
25.4,26.4,27.0
25.4,26.6,27.0
25.4,26.7,27.0
25.4,26.7,27.0
25.5,26.9,28.0
25.5,27.2,28.0
25.6,27.4,28.0
25.7,27.3,28.0
25.8,27.7,28.0
25.8,27.8,28.0
25.9,27.7,29.0
26.0,27.8,29.0
26.1,28.0,29.0
26.2,28.1,29.0
26.2,28.0,29.0
26.3,28.2,29.0
26.0,26.8,28.0
25.8,26.9,28.0
25.9,27.5,28.0
25.9,27.9,28.0
25.9,27.8,28.0
26.0,27.8,28.0
26.0,27.8,27.0
25.9,27.6,27.0
25.9,27.5,27.0
25.9,27.6,27.0
25.9,27.5,27.0
25.8,27.4,27.0
25.9,27.3,28.0
25.8,27.5,28.0
25.9,27.5,28.0
25.9,27.6,28.0
25.9,27.6,28.0
25.9,27.5,28.0
26.0,27.7,29.0
26.1,27.8,29.0
26.2,27.9,29.0
26.3,28.2,29.0
26.3,28.4,29.0
26.4,28.5,29.0
26.4,28.4,27.0
26.3,27.9,27.0
26.2,27.7,27.0
26.1,27.6,27.0
26.0,27.6,27.0
26.0,27.6,28.0
25.9,27.5,28.0
26.0,27.5,28.0
25.9,27.6,28.0
25.9,27.5,28.0
25.9,27.5,28.0
25.9,27.5,29.0
26.0,28.1,29.0
26.0,27.9,29.0
26.1,27.9,29.0
26.3,28.1,29.0
26.3,28.5,29.0
26.4,28.4,29.0
26.4,28.1,27.0
26.3,28.0,27.0
26.2,27.8,27.0
26.1,27.7,27.0
26.0,27.6,27.0
26.0,27.6,27.0
26.0,27.1,26.0
25.9,26.9,26.0
25.7,26.5,26.0
25.6,26.5,26.0
25.5,26.4,26.0
25.5,26.4,26.0
25.4,26.3,27.0
25.4,26.4,27.0
25.4,26.4,27.0
25.4,26.5,27.0
25.4,26.5,27.0
25.4,26.5,27.0
25.5,26.9,28.0
25.6,27.3,28.0
25.7,27.4,28.0
25.7,27.5,28.0
25.8,27.5,28.0
25.8,27.6,28.0
25.9,27.6,28.0
25.9,27.7,29.0
26.0,27.6,29.0
26.1,28.1,29.0
26.2,28.1,29.0
26.3,28.2,29.0
26.3,28.3,29.0
26.4,28.2,29.0
26.4,28.2,29.0
26.5,28.6,29.0
26.5,28.6,29.0
26.5,28.7,29.0
26.5,28.4,27.0
26.4,27.9,27.0
26.3,27.7,27.0
26.2,27.7,27.0
26.1,27.5,27.0
26.0,27.5,27.0
26.0,27.1,26.0
25.9,27.0,26.0
25.8,26.7,26.0
25.7,26.5,26.0
25.7,26.4,26.0
25.6,26.3,26.0
25.5,26.3,27.0
25.5,26.4,27.0
25.5,26.4,27.0
25.5,26.5,27.0
25.4,26.4,27.0
25.5,26.4,27.0
25.5,26.8,28.0
25.6,27.1,28.0
25.7,27.2,28.0
25.8,27.4,28.0
25.7,26.2,28.0
25.5,26.1,28.0
25.5,27.0,29.0
25.7,27.4,29.0
25.8,27.5,29.0
25.9,27.6,29.0
26.0,27.9,29.0
26.0,27.7,29.0
26.1,28.2,28.0
26.1,28.0,28.0
26.1,28.3,28.0
26.1,28.1,28.0
26.1,28.2,28.0
26.2,28.2,28.0
26.1,28.0,27.0
26.1,27.7,27.0
26.0,27.7,27.0
26.0,27.5,27.0
25.9,27.5,27.0
25.9,27.6,28.0
25.9,27.4,28.0
25.9,27.4,28.0
25.9,27.4,28.0
25.9,27.5,28.0
25.9,27.5,28.0
25.9,27.5,29.0
25.9,27.7,29.0
26.0,27.9,29.0
26.1,27.9,29.0
26.2,28.1,29.0
26.2,28.0,29.0
26.3,28.2,29.0
26.4,28.1,28.0
26.3,28.2,28.0
26.4,28.1,28.0
26.4,28.2,28.0
26.4,28.2,28.0
26.4,28.2,29.0
26.5,28.3,29.0
26.5,28.5,29.0
26.5,28.4,29.0
26.6,28.5,29.0
26.6,28.5,29.0
26.6,28.6,29.0
26.6,28.4,27.0
26.5,28.0,27.0
26.3,27.6,27.0
,,
26.1,27.5,27.0
26.0,27.4,27.0
26.0,26.8,28.0
25.8,26.2,28.0
25.8,27.5,28.0
25.9,27.5,28.0
25.9,27.6,28.0
26.0,27.8,28.0
26.0,27.8,29.0
26.1,27.9,29.0
26.2,27.9,29.0
26.2,28.0,29.0
26.3,28.1,29.0
26.3,28.0,29.0
26.3,28.3,28.0
26.3,28.3,28.0
26.3,28.3,28.0
26.3,28.3,28.0
26.3,28.4,28.0
26.3,28.4,28.0
26.3,27.9,26.0
26.2,27.6,26.0
26.0,27.0,26.0
25.9,26.8,26.0
25.8,26.6,26.0
25.7,26.5,26.0
25.6,26.5,26.0
25.6,26.3,27.0
25.5,26.4,27.0
25.5,26.3,27.0
25.5,26.3,27.0
25.4,26.4,27.0
25.5,26.5,28.0
25.6,27.1,28.0
25.7,27.1,28.0
25.8,27.5,28.0
25.9,27.5,28.0
25.9,27.7,28.0
26.0,27.6,29.0
26.0,27.8,29.0
26.1,27.8,29.0
26.2,28.0,29.0
26.2,28.1,29.0
26.3,28.0,29.0
26.3,28.2,28.0
26.3,28.2,28.0
26.3,28.2,28.0
26.3,28.2,28.0
26.3,28.3,28.0
26.2,28.2,28.0
26.2,27.9,27.0
26.1,27.7,27.0
26.1,27.0,27.0
25.8,26.3,27.0
25.7,26.6,27.0
25.8,27.2,27.0
25.8,27.4,28.0
25.8,27.5,28.0
25.9,27.5,28.0
25.9,27.5,28.0
25.9,27.6,28.0
25.9,27.6,28.0
25.9,27.6,29.0
26.1,27.7,29.0
26.1,27.7,29.0
26.2,27.8,29.0
26.3,28.0,29.0
26.3,27.9,29.0
26.3,28.2,28.0
26.3,28.2,28.0
26.3,28.1,28.0
26.3,28.1,28.0
26.3,28.2,28.0
26.3,28.1,28.0
26.2,27.9,27.0
26.2,27.7,27.0
26.1,27.6,27.0
26.1,27.6,27.0
26.0,27.4,27.0
26.0,27.5,27.0
26.0,27.4,28.0
26.0,27.4,28.0
26.0,27.4,28.0
25.9,27.4,28.0
26.0,27.5,28.0
26.0,27.6,28.0
26.0,27.5,29.0
26.1,27.7,29.0
26.2,27.7,29.0
26.2,27.9,29.0
26.3,27.9,29.0
26.3,28.0,29.0
26.4,28.2,28.0
26.4,28.3,28.0
26.4,28.3,28.0
26.4,28.2,28.0
26.4,28.2,28.0
26.4,28.3,28.0
26.4,28.3,29.0
26.5,28.3,29.0
26.5,28.3,29.0
26.6,28.3,29.0
26.5,27.5,29.0
26.3,26.9,29.0
26.1,27.5,28.0
26.1,27.8,28.0
26.2,27.8,28.0
26.2,27.8,28.0
26.2,27.9,28.0
26.2,27.9,28.0
26.2,27.8,27.0
26.1,27.6,27.0
26.1,27.6,27.0
26.1,27.5,27.0
26.0,27.5,27.0
26.0,27.6,27.0
26.0,27.4,28.0
25.9,27.4,28.0
26.0,27.6,28.0
26.0,27.6,28.0
26.0,27.6,28.0
26.0,27.6,28.0
26.0,27.7,29.0
